freq,purchase,unit,geo\TIME_PERIOD	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 
Q,TOTAL,INX_Q,ES	133.86 	129.31 	127.76 	123.20 	116.80 	110.97 	107.37 	103.36 	101.91 	96.75 	95.98 	96.72 	95.50 	95.20 	96.78 	96.99 	97.18 	96.67 	100.67 	101.34 	101.31 	102.74 	104.55 	105.41 	105.78 	108.20 	110.39 	112.43 	113.39 	114.96 	117.90 	120.48 	120.97 	122.88 	124.27 	126.26 	125.44 
Q,TOTAL,INX_Q,EU	98.74 	98.67 	99.39 	99.12 	97.97 	97.20 	97.21 	96.98 	96.44 	95.24 	95.79 	96.21 	95.84 	96.02 	97.35 	98.10 	97.88 	97.97 	99.67 	101.01 	101.35 	102.41 	104.14 	105.78 	106.36 	107.13 	109.03 	110.75 	111.44 	112.39 	114.13 	115.94 	116.60 	117.11 	119.11 	120.84 	121.74 
Q,TOTAL,INX_Q,EU27_2020	101.03 	101.24 	101.97 	101.46 	100.33 	99.59 	99.31 	98.86 	98.36 	97.05 	97.37 	97.50 	96.97 	96.99 	97.97 	98.34 	98.05 	98.21 	99.84 	100.88 	101.08 	102.12 	103.76 	105.32 	105.99 	106.86 	108.67 	110.26 	111.08 	112.19 	114.00 	115.74 	116.59 	117.39 	119.58 	121.27 	122.39 
Q,TOTAL,INX_Q,EU28	98.73 	98.66 	99.38 	99.11 	97.97 	97.20 	97.21 	96.97 	96.42 	95.23 	95.77 	96.20 	95.84 	96.02 	97.35 	98.10 	97.88 	97.97 	99.67 	101.01 	101.35 	102.41 	104.14 	105.78 	106.36 	107.13 	109.03 	110.75 	111.44 	112.39 	114.13 	115.94 	116.60 	117.11 	119.11 	120.84 	121.74 
Q,TOTAL,INX_Q,FI	94.60 	95.84 	97.55 	97.31 	96.76 	98.39 	99.44 	99.36 	99.63 	100.26 	100.68 	100.54 	99.93 	100.06 	100.47 	100.03 	99.42 	99.54 b	100.30 	100.22 	99.95 	100.09 	101.21 	101.24 	100.68 	101.75 	102.95 	102.58 	102.22 	102.65 	104.07 	103.66 	103.38 	103.67 	105.29 	104.85 	104.15 
Q,TOTAL,INX_Q,FR	102.70 	103.34 	105.39 	107.57 	106.53 	105.12 	105.19 	105.86 	104.35 	103.06 	102.94 	103.83 	102.68 	101.46 	101.69 	102.44 	100.35 	99.39 	99.53 	100.94 	100.14 	99.71 	100.20 	102.35 	101.78 	102.39 	103.40 	105.69 	105.14 	105.39 	106.32 	108.72 	108.51 	108.48 	109.72 	112.30 	112.60 
Q,TOTAL,INX_Q,HR	109.80 	108.81 	110.53 	111.31 	111.99 	111.36 	109.86 	109.09 	105.40 	105.28 	104.63 	104.97 	103.63 	102.94 	103.82 	103.00 	102.14 	101.05 	99.13 	99.86 	99.96 	101.21 	100.28 	101.31 	100.75 	100.85 	104.55 	105.13 	108.45 	109.44 	109.26 	112.32 	113.54 	117.55 	120.60 	121.36 	124.90 
Q,TOTAL,INX_Q,HU	91.99 	91.73 	90.97 	89.75 	89.34 	90.21 	87.12 	86.39 	84.67 	84.95 	85.14 	85.26 	84.13 	85.75 	87.55 	89.19 	91.22 	93.60 	98.69 	103.06 	104.65 	109.39 	111.97 	115.20 	116.95 	122.24 	125.48 	129.28 	131.96 	138.65 	142.52 	148.49 	152.32 	165.03 	170.54 p	173.06 p	171.57 p
Q,TOTAL,INX_Q,IE	99.98 	95.45 	90.50 	85.12 	80.38 	76.76 	75.00 	75.89 	76.50 	74.32 	74.33 	78.52 	80.77 	82.04 	86.62 	93.63 	96.59 	96.43 	98.60 	101.73 	103.25 	103.67 	104.79 	109.33 	112.06 	113.36 	115.86 	122.18 	125.31 	127.34 	130.44 	133.31 	134.32 	132.98 	133.70 	135.63 	135.32 
Q,TOTAL,INX_Q,IS	72.70 	72.41 	74.76 	76.35 	77.91 	78.78 	80.45 	81.46 	81.57 	82.12 	84.35 	86.43 	87.93 	89.94 	92.06 	92.98 	94.56 	97.26 	99.42 	100.54 	102.78 	104.94 	106.65 	110.76 	116.73 	122.09 	130.12 	135.65 	136.94 	138.82 	140.52 	143.46 	145.24 	146.19 	147.15 	148.18 	151.66 
Q,TOTAL,INX_Q,IT	118.90 	118.30 	120.70 	120.30 	119.50 	119.00 	118.10 	115.90 	113.60 	110.50 	110.20 	108.60 	107.10 	105.70 	104.70 	103.50 	101.90 	99.70 	99.80 	100.70 	99.80 	99.80 	100.50 	100.70 	100.00 	99.10 	99.60 	99.20 	98.80 	98.60 	99.20 	98.40 	98.30 	97.70 	99.10 	98.80 	98.50 
